name,location__city,location__neighborhood,location__coordinates,categories__001,categories__002,categories__003,bio__summary,bio__url,bio__birthdate,bio__deathdate,bio__yearsActiveStart,bio__yearsActiveEnd,youtube__clipExampleUrl
The Jacka,Pittsburg,,"-121.897252, 38.015785",rapper,,,"Dominick Newton (August 12, 1977 – February 2, 2015), better known by his stage name The Jacka, was an American rapper from Pittsburg, California. The Jacka got his start with his group, Mob Figaz.",https://en.wikipedia.org/wiki/The_Jacka,1977-08-12T00:00:00.000Z,2/2/2015,1998,2015.0,https://www.youtube.com/embed/DdewgXQWC3w
Proof,Detroit,,"-82.986971, 42.443729",rapper,,,"eShaun Dupree Holton (October 2, 1973 – April 11, 2006), better known by his stage name Proof, was an American rapper and actor from Detroit, Michigan. He was a member of the groups D12. He was a close childhood friend of rapper Eminem. In 2006, Proof was shot and killed during an altercation at the CCC nightclub in Detroit.",https://en.wikipedia.org/wiki/Proof_(rapper),1973-10-02T00:00:00.000Z,4/11/2006,1992,2006.0,https://www.youtube.com/embed/U4MfApWb69g
Big Pun,New York,South Bronx,"-73.922010, 40.823268",rapper,,,"Christopher Lee Rios[1] (November 10, 1971 – February 7, 2000), known has Big Pun (short for Big Punisher), was an American rapper from The Bronx, New York City, he was the first Latino rapper to have an album certified platinum as a solo act.",https://en.wikipedia.org/wiki/Big_Pun,1971-11-10T00:00:00.000Z,2/7/2000,1992,2000.0,https://www.youtube.com/embed/DwEqTbaFVXU
Big L,New York,Harlem,"-73.939898, 40.816705",rapper,,,"Lamont Coleman (May 30, 1974 – February 15, 1999), best known by his stage name Big L, was an American hip hop recording artist from Harlem New York.",https://en.wikipedia.org/wiki/Big_L,1974-05-30T00:00:00.000Z,2/15/1999,1990,1999.0,https://www.youtube.com/embed/WWMjRMJ0dTI
Guru,Boston,Roxbury,"-71.090405, 42.314443",rapper,,,"Keith Edward Elam (July 17, 1961 – April 19, 2010), better known by his stage name Guru, was an American rapper best known as a member of the hip-hop duo Gang Starr, along with DJ Premier.",https://en.wikipedia.org/wiki/Guru_(rapper),1961-07-17T00:00:00.000Z,4/19/2010,1986,2010.0,https://www.youtube.com/embed/eIWTKrj9SfI
DJ Screw,Houston,,"-95.2925514, 29.6897814",producer / dj,,,"Robert Earl Davis, Jr. (July 20, 1971 – November 16, 2000), better known by his stage name DJ Screw, was an American hip hop DJ based in Houston, Texas. He was known has the creator of the now-famous chopped and screwed DJ technique.",https://en.wikipedia.org/wiki/DJ_Screw,1971-07-20T00:00:00.000Z,11/16/2000,1983,2000.0,https://www.youtube.com/embed/K_h55O66uf0
Soulja Slim,New Orleans,Magnolia Projects,"-90.093660, 29.938657",rapper,,,"James Adarryl Tapp, Jr. (September 9, 1977 – November 26, 2003), better known by his stage name Soulja Slim (previously Magnolia Slim), was an American rapper and songwriter from New Orleans. He  was shot by an unknow gunman on Thanksgiving Eve in the front row of his mother home.",https://en.wikipedia.org/wiki/Soulja_Slim,1977-09-09T00:00:00.000Z,11/26/2003,1993,2003.0,https://www.youtube.com/embed/dpTxSG3P8fc
Aaliyah,Detroit,,"-83.138337, 42.417139",singer,,,"Aaliyah Dana Haughton (January 16, 1979 – August 25, 2001) was an American singer, dancer, actress, and model from Detroit, Michigan. On August 25, 2001, Aaliyah and eight others were killed in a plane crash in the Bahamas.",https://en.wikipedia.org/wiki/Aaliyah,1979-01-16T00:00:00.000Z,8/25/2001,1991,2001.0,https://www.youtube.com/embed/kjDM0Fz5ccU
Mac Miller,Pittsburgh,,"-79.9441933, 40.451551",rapper,singer,,"Malcolm James McCormick (January 19, 1992 - September 7, 2018), best known by his stage name Mac Miller, is an American rapper.",https://en.wikipedia.org/wiki/Mac_Miller,1992-01-19T00:00:00.000Z,10/7/2018,2007,2018.0,https://www.youtube.com/embed/6bMmhKz6KXg
Nate Dogg,Los Angeles,Longbeach,"-118.145006, 33.782685",rapper,singer,,"Nathaniel Dwayne Hale (August 19, 1969 – March 15, 2011), better known by his stage name Nate Dogg, was an American rapper, singer. He was known as one of the pioneers of West Coast hip hop. ",https://en.wikipedia.org/wiki/Nate_Dogg,1969-08-19T00:00:00.000Z,3/15/2011,1991,2011.0,https://www.youtube.com/embed/pWUMSPekHBE
Koopsta Knicca,Memphis,,"-90.035626, 35.140560",rapper,,,"Robert Cooper Phillips (April 27, 1975 – October 9, 2015), better known by his stage name Koopsta Knicca, was an American rapper. He was best known as one of the members of the Memphis rap group Three 6 Mafia.",https://en.wikipedia.org/wiki/Koopsta_Knicca,1975-04-27T00:00:00.000Z,10/9/2015,1994,2015.0,https://www.youtube.com/embed/6fHiMo5Izu4
J Dilla,Detroit,,"-83.070953, 42.425793",producer / dj,,,"James Dewitt Yancey, better known by the stage names J Dilla and Jay Dee, was an American record producer and rapper who emerged from the mid-1990s underground hip hop scene in Detroit.",https://en.wikipedia.org/wiki/J_Dilla,1974-02-07T00:00:00.000Z,2/10/2006,1993,2006.0,https://www.youtube.com/embed/fC3Cthm0HFU
Ol' Dirty Bastard,New York,Brooklyn,"-73.970845, 40.683065",rapper,,,"Russell Tyrone Jones better known under his stage name Ol' Dirty Bastard (or ODB), was an American rapper and producer. He was one of the founding members of the Wu-Tang Clan.",https://en.wikipedia.org/wiki/Ol%27_Dirty_Bastard,1968-11-15T00:00:00.000Z,11/13/2004,1991,2004.0,https://www.youtube.com/embed/4ITLNzPoEqs
Pimp C,Port Arthur,,"-93.9303966, 29.8627186",rapper,,,"Chad Lamont Butler, better known by his stage name Pimp C, was an American hip hop recording artist and producer. He was best known for his work with Bun B as a founding member of the Underground Kingz (UGK).",https://en.wikipedia.org/wiki/Pimp_C,1973-12-29T00:00:00.000Z,12/4/2007,1987,2007.0,https://www.youtube.com/embed/Qo2hlWLno5Y
Mac Dre,Vallejo,Country Club Crest,"-122.2386108, 38.1468556",rapper,,,"Andre Louis Hicks (July 5, 1970 – November 1, 2004), better known by his stage name Mac Dre, was an American rapper and record producer. On November 1, 2004, Mac Dre was fatally shot and killed by an unknown assailant after a performance in Kansas City, Missouri.",https://en.wikipedia.org/wiki/Mac_Dre,1970-07-05T00:00:00.000Z,11/1/2004,1989,2004.0,https://www.youtube.com/embed/j8Szl_JyCUQ
Eazy-E,Los Angeles,Compton,"-118.200819, 33.881899",rapper,,,"Eric Lynn Wright (September 7, 1964 – March 26, 1995), better known by his stage name Eazy-E, was an American rapper who performed solo and in the hip hop group N.W.A. Wright is affectionately called ""The Godfather of Gangsta Rap"". He was born to Richard and Kathie Wright in Compton, California.",https://en.wikipedia.org/wiki/Eazy-E,1964-09-07T00:00:00.000Z,3/26/1995,1986,1995.0,https://www.youtube.com/embed/fJuapp9SORA
The Notorious B.I.G.,Brooklyn,Clinton Hill,"-73.964148, 40.683529",rapper,,,"Christopher George Latore Wallace (May 21, 1972 – March 9, 1997), better known by his stage names The Notorious B.I.G., Biggie, or Biggie Smalls, was an American rapper.",https://en.wikipedia.org/wiki/The_Notorious_B.I.G.,1972-05-21T00:00:00.000Z,3/9/1997,1992,1997.0,https://www.youtube.com/embed/phaJXp_zMYM
2Pac,New York,Harlem,"-73.940047, 40.797956",rapper,,,"Tupac Amaru Shakur born Lesane Parish Crooks; June 16, 1971 – September 13, 1996), also known by his stage names 2Pac and Makaveli, was an African-American rapper,.",https://en.wikipedia.org/wiki/Tupac_Shakur,1971-06-16T00:00:00.000Z,9/13/1996,1990,1996.0,https://www.youtube.com/embed/6FwYqAg8wUE
Fredo Santana,Chicago,,"-87.644778, 41.779786",rapper,,,"Derrick Coleman (July 4, 1990 – January 19, 2018), better known by his stage name Fredo Santana, was an American rapper from Chicago, Illinois.",https://en.wikipedia.org/wiki/Fredo_Santana,1920-06-04T00:00:00.000Z,1/19/2018,2011,2018.0,https://www.youtube.com/embed/VnTKrEMDyU0
Bankroll Fresh,Atlanta,,"-84.39888, 33.73948",rapper,,,"Trentavious Zamon White Sr. (August 2, 1987 – March 4, 2016), better known by his stage name Bankroll Fresh or Yung Fresh, was an American rapper from Atlanta, Georgia.",https://en.wikipedia.org/wiki/Bankroll_Fresh,1987-08-02T00:00:00.000Z,3/4/2016,2008,2016.0,https://www.youtube.com/embed/lZ2jrla-UHM
