Lyrics,Count
pray,57
First,57
blood,57
Have,57
it?,57
4,57
everyday,57
twist,57
"ride,",56
New,56
red,56
control,56
dogs,56
meet,56
tricks,56
team,56
jump,56
hurt,56
Shake,56
DPG,56
save,56
Yo,56
Bow,55
"her,",55
rhyme,55
[Verse,55
police,55
self,55
"house,",55
Rock,55
comes,55
sex,55
fun,55
"and,",54
homeboy,54
kid,54
9,54
lost,54
talkin,54
years,54
strong,54
fight,53
Of,53
rich,53
drippin',53
Only,53
stars,53
yet,53
kind,53
LBC,53
free,53
soul,53
"(Oh,",53
"him,",53
nephew,53
twenty,53
chill,53
Young,53
Death,53
makin',52
late,52
handle,52
Niggaz,52
stack,52
job,52
part,52
"high,",52
ones,52
folks,52
"gangsta,",52
feels,52
ahead,52
pain,51
eye,51
"nah,",51
respect,51
kinda,51
dollars,51
Black,51
an',51
track,51
Love,51
Lord,51
nuts,51
Break,51
pack,50
fine,50
"ho,",50
Doggz,50
ridin',50
toast,50
death,50
crip,50
half,50
ice,50
recognize,50
sun,50
started,50
"thang,",50
Daz,50
BLACKOUT,50
speak,50
soon,50
ten,50
"Now,",50
funny,50
Gang,49
"air,",49
Dippin',49
Everything,49
wild,49
rhymes,49
ma,49
locked,49
[Repeat:,49
pimpin',49
Feel,49
name?,49
"night,",49
bow,48
hustle,48
scared,48
trees,48
cock,48
six,48
pick,48
cars,48
Kurupt,48
point,48
Side,48
(You,48
murder,48
crack,48
spend,48
brother,48
fire,48
"no,",48
creep,48
trick,47
has,47
wear,47
second,47
Smoke,47
Call,47
"street,",47
burn,47
[Chorus,47
yea,47
20,47
kept,47
kiss,47
Straight,46
Will,46
"way,",46
playa,46
Right,46
bread,46
Boy,46
(I'm,46
(that's,46
raise,46
"Well,",46
south,46
grow,46
cops,46
glock,46
Yea,46
Dogghouse,46
sittin',46
"weed,",46
Gangstas,46
called,46
named,46
fell,46
chick,45
nigga),45
click,45
promise,45
year,45
know),45
O.G.,45
"side,",45
"around,",45
tank,45
smile,45
pimping,45
'em?,45
"why,",45
shit),45
Up,45
taking,45
chips,45
thugs,45
week,45
bought,44
cheese,44
"all,",44
Slow,44
war,44
"there,",44
business,44
knock,44
you've,44
buck,44
"Shit,",44
met,44
bone,44
"world,",44
"y'all,",44
smash,44
candy,44
across,44
claim,43
perfect,43
"mouth,",43
(So,43
both,43
relax,43
count,43
toes,43
Turn,43
story,43
they're,43
Hell,43
"yo,",43
rocks,43
gangsta's,43
"f*ck,",43
worry,43
mash,43
Always,43
whoa,43
playing,43
which,43
Down,43
N,42
wants,42
sick,42
blunt,42
corners,42
bigger,42
Ask,42
plus,42
steady,42
Ooh,42
blowin',42
Listen,42
tip,42
seems,42
pocket,41
We're,41
lick,41
platinum,41
(Oh,41
collar,41
crib,41
serve,41
ounce,41
5,41
Would,41
who's,41
"boom,",41
"Bitch,",41
Hollywood,41
later,41
lady,41
Goldie,41
found,41
having,41
chance,41
wheels,41
we'll,41
Looking,41
outside,40
dub,40
"Jesus,",40
lookin,40
yellow,40
He's,40
Money,40
mack,40
hella,40
Impala,40
that'll,40
far,40
"roughest,",40
on),40
playin',40
"good,",40
boo,40
Damn,40
"hot,",40
problems,40
Double,40
killers,40
Trying,40
ran,40
"gang,",40
use,40
b-b-b-b-b-boyfriend,40
choke,40
luv,40
"toughest,",40
mothaf*ckin',39
"away,",39
paint,39
lil,39
turned,39
"club,",39
ya'll,39
woman,39
dime,39
"Beach,",39
(It's,39
drive,39
Are,39
Another,39
doubt,39
whip,39
bed,39
suck,39
King,39
arm,39
"P,",39
rowdy,39
enemies,39
comin,39
do),39
Lil',39
wish,38
strapped,38
scene,38
center,38
slap,38
peep,38
flea,38
taste,38
muthaf*ckin',38
pockets,38
Yes,38
sayin',38
read,38
dem,38
dis,38
glass,38
bottles,38
MC's,38
"roll,",38
(West,38
Run,38
snoop,38
i'm,38
guns,38
(Yeah),38
"over,",38
cry,38
Had,38
key,38
Dogg!),37
"Ooh,",37
"fool,",37
"name,",37
"Gangsta,",37
send,37
Show,37
babe,37
changed,37
Out,37
road,37
choose,37
Game,37
dice,37
Know,37
"cars,",37
Cali,37
up!,37
cute,37
"motherf*cker,",37
lock,37
deck,37
"low,",37
"die,",37
forever,37
Until,37
women,37
clip,37
Here,37
baby),37
"thing,",37
seven,37
Represent,37
rules,37
upon,36
chrome,36
dream,36
Move,36
"again,",36
cup,36
Lay,36
"Baby,",36
maybe,36
undercover,36
"dogg,",36
lit,36
slang,36
Row,36
bangin',36
swear,36
"Boom,",36
records,36
holding,36
shut,35
against,35
players,35
record,35
beach,35
havin',35
very,35
beats,35
smooth,35
Pass,35
loot,35
By,35
F***,35
C'mon,35
dirty,35
nigga?,35
fade,35
Catch,35
OG,35
switches,35
threw,35
yours,35
House,35
hitting,35
drank,35
"No,",35
whatever,35
aint,35
rather,35
Coast),35
Deee],35
yippie,34
clock,34
(yeah,34
at?,34
push,34
seem,34
"boy,",34
"(Yeah,",34
Who's,34
Deee,34
swivel,34
tripping,34
MC,34
Holla,34
soldier,34
DJ,34
(Don't,34
'round,34
Loc,34
Too,34
lights,34
favorite,34
played,34
past,34
neighborhood,34
upside,34
zone,34
you's,34
"drip,",34
jail,34
"cash,",34
"much,",33
J,33
pour,33
balls,33
daddy,33
We'll,33
"everything,",33
Once,33
hesitate,33
nasty,33
[Tray,33
brought,33
1/8/07,33
"Girl,",33
ballin',33
3,33
between,33
"indo,",33
Rage,33
Before,33
jack,33
High,33
Don,33
busy,33
shout,33
keys,33
gat,33
dark,33
(Bottle),33
sip,33
"mind,",33
moon,33
Her,33
bullshit,33
Compton,33
rolled,33
keeps,33
"bad,",33
cost,32
eight,32
dreamin',32
news,32
(Rage!),32
"what,",32
smell,32
"hard,",32
"God,",32
Three,32
lets,32
dirt,32
"homie,",32
acting,32
foot,32
10,32
doe,32
figure,32
rapper,32
"Mistah,",32
video,32
dippin',32
legend,32
Hoes,32
biggest,32
S,32
diamonds,32
somethin,32
born,32
down?,32
rip,32
"tonight,",32
gives,32
[Goldie,32
god,32
lead,32
(we,31
riding,31
chicks,31
wave,31
"bang,",31
clique,31
Said,31
grown,31
mix,31
ways,31
"home,",31
cover,31
thick,31
Loc],31
givin',31
Went,31
X,31
boom,31
"move,",31
reach,31
gangster,31
Uh,31
Warren,31
"""I",31
me!,31
wall,31
"something,",31
Rollin,31
tired,31
saw,31
puttin,31
wife,31
n,31
World,31
sexy,31
(And,31
(Get,31
dat,31
Mistah!,31
g,31
Nah,31
ah,31
that?,31
bite,31
loud,31
poppin',31
Mary,31
likes,31
dust,31
Did,31
giving,31
doors,31
vibe,31
test,30
microphone,30
oh),30
thats,30
happy,30
small,30
bar,30
child,30
(what?),30
hop,30
About,30
tap,30
projects,30
(The,30
lovin',30
"yellow,",30
drama,30
"together,",30
rush,30
fill,30
Somebody,30
Swing,30
cant,30
"See,",30
cake,30
"to,",30
swing,30
tear,30
Leave,30
king,30
L.A.,30
Close,30
"cool,",30
rain,30
loving,30
alright,30
riches,30
Breathe,30
stare,30
"Dre,",30
above,30
Red,30
"close,",30
Tryna,30
sippin',30
brain,30
drug,29
You'll,29
hits,29
felt,29
"funky,",29
grind,29
takes,29
cap,29
middle,29
proper,29
"hangover,",29
sent,29
that),29
stroll,29
Wanna,29
Follow,29
honey,29
state,29
looked,29
x,29
"talkin',",29
'85,29
imagine,29
donque,29
Everywhere,29
pressure,29
taught,29
winning,29
split,29
roughest,29
anything,29
representing,29
licks,29
match,29
you?,29
Laid,29
pole,29
"beat,",29
Silkk,29
working,28
"more,",28
P-I-M-P,28
"black,",28
fo,28
box,28
Cadillac,28
out),28
lean,28
Came,28
"light,",28
Remember,28
hangin',28
Los,28
it'll,28
Count,28
"two,",28
Little,28
cousin,28
ends,28
"Money,",28
"Bowwowwowyippyyoyippyyay,",28
bud,28
Coolaid,28
gimme,28
jumped,28
(Rage),28
Ay,28
ring,28
nothin,28
doggy,28
drunk,28
pavement,28
[Kurupt],28
soft,28
switch,28
homeboys,28
lonely,28
window,28
D.P.G.,28
treat,28
mo,28
[Nate,28
holler,28
Sippin',28
loose,28
like),28
shit's,28
(Dogg,28
huh?,27
clown,27
spray,27
cream,27
thinkin',27
here's,27
crackin',27
games,27
Told,27
"ha,",27
Tryin',27
sippin,27
White,27
up?,27
suckers,27
church,27
"a,",27
moment,27
stress,27
class,27
"lifted,",27
Welcome,27
go),27
classic,27
Whatever,27
bangin,27
power,27
Snoop),27
sometimes,27
clear,27
Stop,27
"dick,",27
connected,27
happen,27
Wit,27
L.B.C.,27
special,27
[?],27
"the,",27
yay,27
chillin',26
Through,26
(f*ck,26
son,26
toe,26
say?,26
blame,26
cat,26
lemme,26
"smoke,",26
grew,26
Won't,26
happens,26
bags,26
n****,26
"Pound,",26
clap,26
Whats,26
"bust,",26
"pussy,",26
Pull,26
Motherf*cking,26
heavy,26
lotta,26
pump,26
"party,",26
"got,",26
master,26
now?,26
dreams,26
least,26
fog,26
raw,26
cha,26
'fore,26
Grab,26
shawty,26
(come,26
Smoking,26
"top,",26
Party,26
"get,",26
bullet,26
Imagine,26
u,26
"dope,",26
bottom,26
khakis,25
tellin',25
brothers,25
Mac,25
Blue,25
Ready,25
"So,",25
Used,25
Ice,25
(know,25
smack,25
sold,25
(and,25
"want,",25
"yeah""",25
standing,25
sho',25
wicked,25
Word,25
gas,25
ups,25
[Chorus:],25
"Yes,",25
pen,25
"funk,",25
raised,25
rag,25
smokin,25
1,25
speakers,25
hide,25
toughest,25
"(Money,",25
"""Hell",25
rappers,25
vest,25
doin,25
Im,25
bass,25
"Lord,",25
(Say,25
eastside,25
anyone,25
C,25
drugs,25
dress,25
loved,25
pretty,25
"Crip,",25
TV,25
Hot,25
chronic's,25
(We,25
else,25
grindin',25
nigga's,25
over),25
money),25
Turtle,25
sipping,25
learn,25
Time,25
radio,25
Gimme,25
dancing,25
hip,25
ease,24
today,24
Rollin',24
Been,24
shaking,24
wrist,24
bail,24
bound,24
(You),24
An',24
fault,24
major,24
Jesus,24
loves,24
attention,24
Lemme,24
Seems,24
movie,24
clean),24
Bring,24
Master,24
Deep,24
bump,24
doo-doo-doo-da-dahhh!,24
soldiers,24
"mine,",24
Da-duh-da-da-dah,24
Coupe,24
What?,24
"gone,",24
"don't,",24
wiggle,24
Lil,24
guys,24
plan,24
sho,24
"Do-do-do-do,",24
headed,24
papers,24
pose,24
Thats,24
Talking,24
near,24
After,24
s***,24
chariot,24
forty,24
rockin',24
Bang,24
(X),24
ha),24
(DPG),24
Bobby,24
"bomb,",24
(it's,24
starts,24
"trip,",24
2],24
sayin,23
flat,23
liquor,23
showed,23
"hand,",23
pigs,23
Step,23
life's,23
"pressure,",23
pops,23
waitin',23
"corner,",23
tru,23
D-O-double-G,23
suit,23
"style,",23
level,23
Late,23
season,23
Ladies,23
ol',23
lane,23
tat,23
Boss,23
Light,23
wind,23
pistol,23
Matter,23
joy,23
Maybe,23
sticky,23
(Oh!),23
His,23
main,23
sucker,23
Guess,23
welcome,23
"Boy,",23
duck,23
waiting,23
An,23
deserve,23
"D-O-double-G,",23
"fact,",23
action,23
slowly,23
kitchen,23
"um,",23
Dirty,23
alive,23
LA,23
Want,23
Gonna,23
Santa,23
hoo),23
"done,",23
walking,23
(in,23
beef,23
do',23
slippin',23
dont,23
trippin,23
screamin',23
stage,23
walkin',23
bunch,23
anybody,22
tough,22
tree,22
remain,22
"DPG,",22
store,22
attitude,22
pouring,22
Pac's,22
hittin',22
ground,22
mood,22
Yeah!,22
turf,22
blew,22
hole,22
shows,22
toss,22
write,22
shining,22
Last,22
pants,22
"paper,",22
Lookin',22
Jane,22
livin,22
super,22
crawl,22
Making,22
"huh,",22
Fresh,22
moms,22
actin',22
puffs,22
"place,",22
park,22
Old,22
beautiful,22
blessing,22
roof,22
"boo,",22
6,22
continue,22
B,22
"need,",22
Should,22
quarter,22
"please,",22
Smokin',22
D-R-E,22
blown,22
"Damn,",22
dealin',22
thousand,22
doggs,22
purple,22
voice,22
hanging,22
wonderful,22
VIP,22
takin',22
dues,22
"Snoopy,",22
"talk,",22
Pump,22
"Cadillac,",22
what),21
lyrical,21
"yes,",21
afro,21
Bo$$,21
Please,21
Plus,21
"whooot,",21
meant,21
crime,21
Boo,21
president,21
"heart,",21
banging,21
Doggs,21
mommy,21
question,21
mob,21
hips,21
"lot,",21
plane,21
(why?),21
layin',21
Wake,21
"neck,",21
indo,21
change),21
law,21
turning,21
Tha,21
puff,21
"friends,",21
popped,21
wide,21
Seven,21
trouble,21
"girls,",21
tits,21
growin',21
"Coast,",21
prove,21
fish,21
ho's,21
brown,21
noise,21
grave,21
50,21
survive,21
D-O-double,21
Didn't,21
"coast,",21
throat,21
Coming,21
U,21
bowwowwowyippyyo,21
extra,21
dome,21
"shots,",21
wat,21
boat,21
Jockin?,21
"spot,",21
Chorus,21
asking,21
F*CK,21
anyway,21
"lo-lo's,",21
(uh-huh!),21
"from,",21
Lady,21
Rolling,21
the?,21
goodbye,21
lips,21
closed,21
rollin,21
Cool,21
bitch),20
rugged,20
"keys,",20
plate,20
G!,20
bitch!,20
"Murder,",20
G'd,20
crowd,20
learned,20
weapon,20
singing,20
C-Murder,20
"with,",20
rings,20
Made,20
downtown,20
focused,20
fingers,20
betta,20
givin,20
"Ballin',",20
Winning,20
Mad,20
bouncin',20
(Hell,20
"look,",20
either,20
Good,20
go!!!),20
beast,20
People,20
Corleone,20
dizzy,20
Mia,20
"mean,",20
popping,20
somebody's,20
F*ckin',20
(Everywhere,20
Could,20
"tripping,",20
stacks,20
Heaven,20
rip),20
winner,20
Street,20
scrap,20
summer,20
pimp's,20
"cut,",20
"inhale,",20
Hope,20
que,20
locs,20
complete,20
fit,20
Ruff,20
Nine,20
"mama,",20
weak,20
finish,20
row,20
Till,20
shit.,20
(hey),20
bills,20
(Left,20
Super,20
reality,20
"bass,",20
em',20
dash,20
"homey,",20
butt,20
realize,20
may,20
"town,",20
"face,",20
great,20
begin,20
"Ca-rip,",20
You's,20
mink,20
"momma,",20
"wrong,",20
mall,20
ocean,20
scream,19
mess,19
bubble,19
mines,19
tales,19
"daddy,",19
"(Hey,",19
snatch,19
yard,19
Sing,19
"buttons,",19
Try,19
"Look,",19
tape,19
You've,19
someone,19
you'd,19
Bet,19
"door,",19
killed,19
64,19
fame,19
faded,19
nerve,19
shook,19
"""You",19
up!),19
Afro,19
Puffs,19
it!,19
building,19
movin',19
laid,19
Think,19
"so,",19
mixed,19
blocks,19
Jack,19
twisted,19
playin,19
watching,19
tall,19
dubs,19
Here's,19
charge,19
Bigg,19
guy,19
fear,19
verse,19
Soon,19
"fools,",19
refuse,19
Dog,19
glad,19
"same,",19
drops,19
they'll,19
"hoe,",19
seduction,19
Cruisin?,19
back?,19
"cheese,",19
for?,19
are),19
(for,19
"people,",19
"Nah,",19
dippin,19
solo,19
mind),19
answer,19
company,19
superstar,19
Dizzle,19
"rich,",19
Free,19
joke,19
Hands,19
partner,19
dropped,19
freeze,19
says,19
chillin,19
Quick,19
(Yeah,19
harder,19
minutes,19
"car,",19
pimpin,19
booty,19
"quick,",19
Benz,19
nowhere,19
"then,",19
"long,",19
early,19
Phantom,19
land,18
Lick,18
Hangin',18
bless,18
calling,18
ay,18
shouldn't,18
x4],18
asked,18
x3],18
suicide,18
right?,18
dealers,18
(?),18
"niggaz,",18
Inside,18
LB,18
"eyes,",18
"slip,",18
nut,18
fix,18
More,18
less,18
J's,18
Upside,18
meat,18
Pain,18
pros,18
coat,18
rebuke,18
right),18
posted,18
too),18
muthaf*ckin,18
Mama,18
(Hey),18
"knees,",18
Livin',18
flag,18
Unless,18
"sick,",18
cuff,18
blunts,18
twice,18
sign,18
grass,18
home),18
crippin',18
dawg,18
(never,18
proceed,18
lift,18
steal,18
Johnson,18
"heat,",18
Nobody,18
trunk,18
loosen,18
brim,18
definitely,18
"chronic,",18
"attention,",18
panties,18
'em),18
chucks,18
Kid,18
Riding,18
cane,18
along,18
summertime,18
southside,18
problem,18
ear,18
silly,18
Spin,18
whats,18
simple,18
blessed,18
Verse,18
worst,18
daughter,18
rhythm,18
man),18
"Uhh,",18
Shorty,18
raps,18
view,18
187,18
Nothin',18
cracked,18
Meet,18
"hit,",18
Glock,18
Head,18
finished,18
price,18
medicine,18
everyone,18
Christmas,18
"drink,",18
selling,18
Picture,18
life),17
Beat,17
"(yeah,",17
hooked,17
Bangin',17
"me""",17
album,17
Shoot,17
slick,17
"my,",17
"mission,",17
pictures,17
Throwin',17
flicc,17
"change,",17
blues,17
Same,17
Tommy,17
"not,",17
7,17
Walk,17
Brooklyn,17
"hair,",17
Many,17
strange,17
Soulja,17
(say,17
Slick,17
Though,17
"pop,",17
snitches,17
DoggHouse,17
saved,17
hey),17
Bust,17
icky,17
visit,17
caviar,17
spinnin',17
slid,17
mirror,17
Wave,17
rapping,17
[Bad,17
who?,17
Uncle,17
joint,17
"breeze,",17
"Beautiful,",17
"left,",17
AK,17
Next,17
rappin',17
Motherf*ckers,17
Four,17
alone),17
feed,17
shop,17
Took,17
teach,17
died,17
rubber,17
"Blood,",17
(like,17
bon,17
"times,",17
"Daz,",17
Swoop,17
"G's,",17
"head,",17
swag,17
means,17
moving,17
screen,17
"bag,",17
cross,17
callin',17
label,17
"business,",17
trigger,17
"Eastside,",17
celebrate,17
Slim,17
why?,17
this?,17
snitch,17
explain,17
shall,17
rat,17
ridin,17
wont,17
out?,17
(all,17
Azz],17
looks,17
script,17
court,17
enjoy,17
"through,",17
makin,17
"homies,",17
smoked,17
",",17
pays,17
industry,17
happenin',17
"work,",17
"perms,",16
men,16
Ha,16
"best,",16
fa,16
"three,",16
wash,16
dutchie,16
sugar,16
braids,16
"Me,",16
Talk,16
Slide,16
parties,16
Chorus:,16
given,16
beam,16
(Still,16
gizee,16
(what,16
Need,16
truck,16
served,16
chocolate,16
breakin',16
heaven,16
floss,16
French,16
flo',16
ill,16
flavor,16
Figa-da-doh!,16
slippin,16
heater,16
Sensual,16
Dogg's,16
underground,16
de,16
Kick,16
Gotti,16
"pounds,",16
Fi-ga-doh,16
"bricks,",16
breaking,16
in),16
"true,",16
dogg!,16
nuttin,16
county,16
he'll,16
Pimp,16
throwin',16
groupie,16
cell,16
"set,",16
french,16
it.,16
boogie,16
depths,16
boyfriend,16
(What?),16
arm),16
whether,16
"gas,",16
share,16
shakin',16
"fly,",16
rock-rock-right,16
trees),16
steps,16
do?),16
Getting,16
spell,16
ya',16
wax,16
"Satan,",16
date,16
"sky,",16
hour,16
p,16
Suga,16
if?),16
Thugs,16
jeans,16
Most,16
cocked,16
serious,16
"Benz,",16
spark,16
food,16
[Come,16
freaky,16
slangin',16
Nothing,16
"Stop,",16
(Holla,16
hangin,16
"swivel,",16
Dangerous,16
hot),16
"line,",16
spread,16
spoke,16
"live,",16
sign?,16
spendin',16
"wiggle,",16
"green,",16
"tried,",16
"drama,",16
o'clock,16
"shot,",16
Kells,16
filled,16
Playing,16
names,16
like?,16
"(Snoop,",16
awake,16
